2023-12-13 14:55:58,585 |jsse-nio-8443-exec-4 |FreeMarkerWorker              |I| loading properties: file:/D:/ofbiz/ofbiz-framework/build/resources/main/org/apache/ofbiz/content/freemarkerTransforms.properties
2023-12-13 14:55:59,865 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [2] milliseconds
2023-12-13 14:55:59,923 |jsse-nio-8443-exec-4 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:6.274,since last([webtools::entity...):6.274]]
2023-12-13 14:55:59,952 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[webtools::entity (Domain:https://localhost)] Request Done- total:0.111,since last([webtools::entity...):0.111]]
2023-12-13 14:56:29,501 |jsse-nio-8443-exec-3 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 14:56:29,512 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 14:56:29,551 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 14:56:29,552 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 14:56:29,552 |sse-nio-8443-exec-10 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-13 14:56:29,554 |sse-nio-8443-exec-10 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visitor]; curSeqId=14300, maxSeqId=14400, bankSize=100
2023-12-13 14:56:29,597 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 14:56:29,600 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.015s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 14:56:29,600 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.029s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 14:56:29,601 |sse-nio-8443-exec-10 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 14:56:29,666 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle SecurityextUiLabels (en_US) created in 0.054s with 69 properties
2023-12-13 14:56:29,676 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-13 14:56:29,684 |sse-nio-8443-exec-10 |RequestHandler                |E| Request loginEvent caused an error with the following message: [username was empty reenter, password was empty reenter]
2023-12-13 14:56:29,687 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 14:56:29,688 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-13 14:56:29,713 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-13 14:56:29,727 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-13 14:56:29,733 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.182,since last([onlineexam::logi...):0.182]]
2023-12-13 14:57:44,075 |jsse-nio-8443-exec-3 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 14:57:44,088 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 14:57:44,089 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 14:57:44,090 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 14:57:44,123 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 14:57:44,124 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.011s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 14:57:44,124 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.02s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 14:57:44,125 |sse-nio-8443-exec-10 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 14:57:44,126 |sse-nio-8443-exec-10 |LoginWorker                   |I| Setting default delegator
2023-12-13 14:57:44,243 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [onlineexam/userLogin] finished in [116] milliseconds
2023-12-13 14:57:44,243 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 14:57:44,251 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [onlineexam/preferenceGetSetPermission] finished in [1] milliseconds
2023-12-13 14:57:44,254 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [onlineexam/setUserPreference] finished in [6] milliseconds
2023-12-13 14:57:44,269 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [onlineexam/getUserPreference] finished in [2] milliseconds
2023-12-13 14:57:44,272 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [onlineexam/getUserPreference] finished in [2] milliseconds
2023-12-13 14:57:44,295 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [success]
2023-12-13 14:57:44,295 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 14:57:44,296 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-13 14:57:44,297 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-13 14:57:44,300 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-13 14:57:44,302 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.213,since last([onlineexam::logi...):0.213]]
2023-12-13 14:58:35,871 |OFBiz-JobQueue-0     |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-13 14:58:35,877 |OFBiz-JobQueue-0     |SequenceUtil                  |I| Got bank of sequenced IDs for [JobSandbox]; curSeqId=19600, maxSeqId=19700, bankSize=100
2023-12-13 14:58:35,882 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19506] -- Next runtime: Wed Dec 13 15:13:35 IST 2023
2023-12-13 14:58:35,917 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [19507] -- Next runtime: Wed Dec 13 15:13:35 IST 2023
2023-12-13 14:58:39,023 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [3138] milliseconds
2023-12-13 14:58:39,042 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [19508] -- Next runtime: Wed Dec 13 15:13:39 IST 2023
2023-12-13 14:58:39,049 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [7] milliseconds
2023-12-13 14:58:40,296 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4376] milliseconds
2023-12-13 15:00:10,064 |jsse-nio-8443-exec-3 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:00:10,069 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:00:10,070 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 15:00:10,071 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 15:00:10,119 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 15:00:10,120 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.016s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 15:00:10,120 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.025s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 15:00:10,121 |sse-nio-8443-exec-10 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 15:00:10,128 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-13 15:00:10,133 |sse-nio-8443-exec-10 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-13 15:00:10,139 |sse-nio-8443-exec-10 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=11030, maxSeqId=11040, bankSize=10
2023-12-13 15:00:10,149 |sse-nio-8443-exec-10 |RequestHandler                |E| Request loginEvent caused an error with the following message: [username was empty reenter, password was empty reenter]
2023-12-13 15:00:10,150 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 15:00:10,150 |sse-nio-8443-exec-10 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-13 15:00:10,152 |sse-nio-8443-exec-10 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-13 15:00:10,163 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-13 15:00:10,173 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.103,since last([onlineexam::logi...):0.103]]
2023-12-13 15:00:40,180 |jsse-nio-8443-exec-3 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:00:40,243 |jsse-nio-8443-exec-2 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:00:40,246 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 15:00:40,246 |jsse-nio-8443-exec-2 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 15:00:40,322 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 15:00:40,323 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.011s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 15:00:40,324 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.019s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 15:00:40,324 |jsse-nio-8443-exec-2 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 15:00:40,326 |jsse-nio-8443-exec-2 |LoginWorker                   |I| Setting default delegator
2023-12-13 15:00:40,329 |jsse-nio-8443-exec-2 |LoginServices                 |I| [LoginServices.userLogin] Invalid User : 'asfsaefasd'; User not found.
2023-12-13 15:00:40,329 |jsse-nio-8443-exec-2 |ServiceDispatcher             |W| Service Failure [userLogin]: User not found.
2023-12-13 15:00:40,330 |jsse-nio-8443-exec-2 |ServiceDispatcher             |T| Sync service [onlineexam/userLogin] finished in [3] milliseconds
2023-12-13 15:00:40,331 |jsse-nio-8443-exec-2 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-13 15:00:40,331 |jsse-nio-8443-exec-2 |RequestHandler                |E| Request loginEvent caused an error with the following message: following error occurred during login: User not found.
2023-12-13 15:00:40,331 |jsse-nio-8443-exec-2 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 15:00:40,332 |jsse-nio-8443-exec-2 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-13 15:00:40,334 |jsse-nio-8443-exec-2 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-13 15:00:40,337 |jsse-nio-8443-exec-2 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-13 15:00:40,340 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.094,since last([onlineexam::logi...):0.094]]
2023-12-13 15:02:41,907 |jsse-nio-8443-exec-3 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:02:41,911 |jsse-nio-8443-exec-2 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-13 15:02:41,912 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-13 15:02:41,913 |jsse-nio-8443-exec-2 |VisitHandler                  |I| Found visitorId [null] in cookie
2023-12-13 15:02:41,936 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-13 15:02:41,937 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.009s, 52 requests, 21 views in file:/D:/ofbiz/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-13 15:02:41,937 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.014s, 4 requests, 1 views in file:/D:/ofbiz/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-13 15:02:41,937 |jsse-nio-8443-exec-2 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-13 15:02:41,938 |jsse-nio-8443-exec-2 |RequestHandler                |I| Ran Event [java:com.vastpro.onlineexam.events.LoginEvent#loginEvent] from [request], result is [error]
2023-12-13 15:02:41,938 |jsse-nio-8443-exec-2 |RequestHandler                |E| Request loginEvent caused an error with the following message: [username was empty reenter, password was empty reenter]
2023-12-13 15:02:41,939 |jsse-nio-8443-exec-2 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-13 15:02:41,939 |jsse-nio-8443-exec-2 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-13 15:02:41,940 |jsse-nio-8443-exec-2 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-13 15:02:41,942 |jsse-nio-8443-exec-2 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-13 15:02:41,943 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[onlineexam::loginEvent (Domain:https://localhost)] Request Done- total:0.031,since last([onlineexam::logi...):0.031]]
2023-12-13 15:07:50,010 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-12-13 15:07:50,224 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-12-13 15:07:50,286 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-12-13 15:07:50,445 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-12-13 15:07:50,710 |main                 |ComponentContainer            |I| All components loaded
2023-12-13 15:07:50,710 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-12-13 15:07:50,711 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-12-13 15:07:50,719 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-12-13 15:07:50,719 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-12-13 15:07:50,720 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-12-13 15:07:50,720 |main                 |ContainerLoader               |I| Loading container: service-container
2023-12-13 15:07:50,724 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-12-13 15:07:50,724 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-12-13 15:07:51,003 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-12-13 15:07:51,009 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-12-13 15:07:51,020 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-12-13 15:07:51,021 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-12-13 15:07:51,021 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-12-13 15:07:51,044 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-12-13 15:07:51,044 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-12-13 15:07:51,045 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-12-13 15:07:51,046 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-12-13 15:07:51,046 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-12-13 15:07:51,047 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-12-13 15:07:51,047 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-13 15:07:51,048 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-12-13 15:07:51,048 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-12-13 15:07:51,049 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-12-13 15:07:51,050 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-12-13 15:07:51,051 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-12-13 15:07:51,052 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-12-13 15:07:51,052 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-12-13 15:07:51,053 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-12-13 15:07:51,053 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-12-13 15:07:51,066 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-12-13 15:07:51,077 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-12-13 15:07:51,077 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-12-13 15:07:51,078 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-12-13 15:07:51,078 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-12-13 15:07:51,093 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-12-13 15:07:51,094 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-12-13 15:07:51,094 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-12-13 15:07:51,094 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-12-13 15:07:51,094 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-12-13 15:07:51,095 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-12-13 15:07:51,095 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-12-13 15:07:51,095 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-12-13 15:07:51,095 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-12-13 15:07:51,096 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-12-13 15:07:51,096 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-12-13 15:07:51,096 |main                 |CatalinaContainer             |I| Creating context [onlineexam]
2023-12-13 15:07:51,096 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-12-13 15:07:51,096 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-12-13 15:07:51,097 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-12-13 15:07:51,097 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-12-13 15:07:51,097 |main                 |CatalinaContainer             |I| Creating context [content]
2023-12-13 15:07:51,097 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-12-13 15:07:51,097 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [example]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [ecomseo]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [ecommerce]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [ebay]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [cmssite]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [bi]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [ismgr]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-12-13 15:07:51,098 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-12-13 15:07:51,099 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-12-13 15:07:51,099 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-12-13 15:07:51,099 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-12-13 15:07:51,099 |main                 |CatalinaContainer             |I| Creating context [order]
2023-12-13 15:07:51,100 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-12-13 15:07:51,100 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-12-13 15:07:51,100 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-12-13 15:07:51,100 |main                 |CatalinaContainer             |I| Creating context [accounting]
2023-12-13 15:07:51,100 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2023-12-13 15:07:51,101 |main                 |CatalinaContainer             |I| Creating context [facility]
2023-12-13 15:07:51,101 |main                 |CatalinaContainer             |I| Creating context [catalog]
2023-12-13 15:07:51,101 |main                 |CatalinaContainer             |I| Creating context [ical]
2023-12-13 15:07:51,101 |main                 |CatalinaContainer             |I| Creating context [workeffort]
2023-12-13 15:07:51,101 |main                 |CatalinaContainer             |I| Creating context [contentimages]
