2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-17 12:47:04,857 |OFBiz-batch-3        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-11-17 12:47:04,857 |OFBiz-batch-1        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-17 12:47:04,857 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-17 12:47:04,858 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-17 12:47:04,858 |OFBiz-batch-3        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-17 12:47:04,858 |OFBiz-batch-1        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-17 12:47:04,858 |OFBiz-batch-3        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-17 12:47:04,858 |OFBiz-batch-1        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-17 12:47:04,858 |OFBiz-batch-3        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-17 12:47:04,858 |OFBiz-batch-3        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-17 12:47:04,858 |OFBiz-batch-1        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-17 12:47:04,859 |OFBiz-batch-3        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-17 12:47:04,859 |OFBiz-batch-1        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-17 12:47:04,859 |OFBiz-batch-1        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-17 12:47:04,860 |OFBiz-batch-1        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-17 12:47:04,860 |OFBiz-batch-3        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-17 12:47:04,860 |OFBiz-batch-3        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-17 12:47:04,860 |OFBiz-batch-1        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-17 12:47:04,860 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-17 12:47:04,860 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-17 12:47:04,866 |OFBiz-batch-2        |DatabaseUtil                  |I| - max table name length     [63]
2023-11-17 12:47:04,866 |OFBiz-batch-2        |DatabaseUtil                  |I| - max column name length    [63]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent connections    [8192]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - concurrent statements     [0]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [false]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2023-11-17 12:47:04,867 |OFBiz-batch-2        |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - outer joins               [true]*
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - limited outer joins       [true]
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - full outer joins          [true]
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by                  [true]*
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - group by not in select    [true]
2023-11-17 12:47:04,868 |OFBiz-batch-2        |DatabaseUtil                  |I| - column aliasing           [true]
2023-11-17 12:47:04,869 |OFBiz-batch-2        |DatabaseUtil                  |I| - order by not in select    [true]
2023-11-17 12:47:04,869 |OFBiz-batch-2        |DatabaseUtil                  |I| - alter table add column    [true]*
2023-11-17 12:47:04,869 |OFBiz-batch-2        |DatabaseUtil                  |I| - non-nullable column       [true]*
2023-11-17 12:47:04,869 |OFBiz-batch-2        |DatabaseUtil                  |I| - default fetchsize        [0]
2023-11-17 12:47:04,870 |OFBiz-batch-2        |DatabaseUtil                  |I| - named parameters         [ SKIPPED ]
2023-11-17 12:47:04,870 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Table Info From Database
2023-11-17 12:47:04,909 |OFBiz-batch-1        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-17 12:47:04,909 |OFBiz-batch-3        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-17 12:47:04,934 |OFBiz-batch-2        |DatabaseUtil                  |I| Getting Column Info From Database
2023-11-17 12:47:04,959 |OFBiz-batch-3        |DatabaseUtil                  |I| Reviewed 8 primary key fields from database.
2023-11-17 12:47:04,964 |OFBiz-batch-1        |DatabaseUtil                  |I| Reviewed 9 primary key fields from database.
2023-11-17 12:47:05,310 |OFBiz-batch-2        |DatabaseUtil                  |I| Reviewed 1696 primary key fields from database.
2023-11-17 12:47:05,404 |kJoinPool-1-worker-1 |EntityEcaUtil                 |I| Loaded [11] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\content/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,404 |kJoinPool-1-worker-7 |EntityEcaUtil                 |I| Loaded [1] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\projectmgr/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,404 |kJoinPool-1-worker-8 |EntityEcaUtil                 |I| Loaded [0] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\solr/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,405 |kJoinPool-1-worker-2 |EntityEcaUtil                 |I| Loaded [4] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\workeffort/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,405 |kJoinPool-1-worker-3 |EntityEcaUtil                 |I| Loaded [14] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\product/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,406 |kJoinPool-1-worker-5 |EntityEcaUtil                 |I| Loaded [3] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\order/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,406 |kJoinPool-1-worker-6 |EntityEcaUtil                 |I| Loaded [15] Entity ECA definitions from D:\ofbiz\ofbiz-framework\plugins\lucene/entitydef/eecas_product.xml in loader main
2023-11-17 12:47:05,406 |kJoinPool-1-worker-4 |EntityEcaUtil                 |I| Loaded [2] Entity ECA definitions from D:\ofbiz\ofbiz-framework\applications\accounting/entitydef/eecas.xml in loader main
2023-11-17 12:47:05,424 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/groups_test.xml
2023-11-17 12:47:05,428 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/D:/ofbiz/ofbiz-framework/framework/entityext/servicedef/groups.xml
2023-11-17 12:47:05,433 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [2] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/service_groups.xml
2023-11-17 12:47:05,438 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [1] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/groups.xml
2023-11-17 12:47:05,442 |OFBiz-batch-1        |ServiceGroupReader            |I| Loaded [4] Group definitions from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/groups.xml
2023-11-17 12:47:05,456 |kJoinPool-1-worker-6 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/secas_cdyne.xml
2023-11-17 12:47:05,470 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [26] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/secas.xml
2023-11-17 12:47:05,470 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/secas_test.xml
2023-11-17 12:47:05,471 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/framework/service/servicedef/secas_test_se.xml
2023-11-17 12:47:05,471 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/party/servicedef/secas.xml
2023-11-17 12:47:05,474 |kJoinPool-1-worker-6 |ServiceEcaUtil                |I| Loaded [4] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/manufacturing/servicedef/secas.xml
2023-11-17 12:47:05,477 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [27] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas.xml
2023-11-17 12:47:05,480 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [6] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_invoice.xml
2023-11-17 12:47:05,485 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_ledger.xml
2023-11-17 12:47:05,496 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [10] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/marketing/servicedef/secas.xml
2023-11-17 12:47:05,501 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/bi/servicedef/secas.xml
2023-11-17 12:47:05,509 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [5] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/assetmaint/servicedef/secas.xml
2023-11-17 12:47:05,509 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [8] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/accounting/servicedef/secas_payment.xml
2023-11-17 12:47:05,511 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [1] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/ebay/servicedef/secas.xml
2023-11-17 12:47:05,514 |kJoinPool-1-worker-5 |ServiceEcaUtil                |I| Loaded [3] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/example/servicedef/secas.xml
2023-11-17 12:47:05,514 |kJoinPool-1-worker-4 |ServiceEcaUtil                |I| Loaded [9] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/scrum/servicedef/secas.xml
2023-11-17 12:47:05,516 |kJoinPool-1-worker-1 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/plugins/solr/servicedef/secas.xml
2023-11-17 12:47:05,517 |kJoinPool-1-worker-7 |ServiceEcaUtil                |I| Loaded [14] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/workeffort/servicedef/secas.xml
2023-11-17 12:47:05,519 |kJoinPool-1-worker-3 |ServiceEcaUtil                |I| Loaded [25] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/content/servicedef/secas.xml
2023-11-17 12:47:05,520 |kJoinPool-1-worker-6 |ServiceEcaUtil                |I| Loaded [108] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/order/servicedef/secas.xml
2023-11-17 12:47:05,521 |kJoinPool-1-worker-8 |ServiceEcaUtil                |I| Loaded [29] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/product/servicedef/secas_shipment.xml
2023-11-17 12:47:05,532 |kJoinPool-1-worker-2 |ServiceEcaUtil                |I| Loaded [0] Service ECA Rules from file:/D:/ofbiz/ofbiz-framework/applications/commonext/servicedef/secas.xml
2023-11-17 12:47:05,601 |kJoinPool-1-worker-8 |ModelServiceReader            |I| Loaded [2] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_cdyne.xml
2023-11-17 12:47:05,601 |kJoinPool-1-worker-3 |ModelServiceReader            |I| Loaded [3] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_enum.xml
2023-11-17 12:47:05,603 |kJoinPool-1-worker-1 |ModelServiceReader            |I| Loaded [13] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_geo.xml
2023-11-17 12:47:05,601 |kJoinPool-1-worker-4 |ModelServiceReader            |I| Loaded [1] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_qrcode.xml
2023-11-17 12:47:05,604 |kJoinPool-1-worker-5 |ModelServiceReader            |I| Loaded [17] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_security.xml
2023-11-17 12:47:05,604 |kJoinPool-1-worker-7 |ModelServiceReader            |I| Loaded [6] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_method.xml
2023-11-17 12:47:05,606 |kJoinPool-1-worker-6 |ModelServiceReader            |I| Loaded [18] Services from file:/D:/ofbiz/ofbiz-framework/framework/common/servicedef/services_email.xml
