2023-12-18 16:28:14,721 |main                 |ServiceDispatcher             |I| Registering dispatcher: prashuDemo
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Language: BeanShell
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     bsh
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     java
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-18 16:28:16,306 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     beanshell
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     bsh
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     java
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I| Engine name: Groovy Scripting Engine
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Version: 2.0
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Language: Groovy
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Engine supports the following extensions:
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     groovy
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|   Engine has the following short names:
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     groovy
2023-12-18 16:28:16,307 |OFBiz-JobQueue-1     |ScriptUtil                    |I|     Groovy
2023-12-18 16:28:16,353 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [21604] -- Next runtime: Mon Dec 18 16:43:16 IST 2023
2023-12-18 16:28:22,567 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [6206] milliseconds
2023-12-18 16:28:23,937 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [7667] milliseconds
2023-12-18 16:30:26,931 |jsse-nio-8443-exec-6 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-18 16:30:27,000 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::ExamsForUserEvent (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 16:30:27,010 |jsse-nio-8443-exec-6 |VisitHandler                  |I| Found visitorId [13003] in cookie
2023-12-18 16:30:27,020 |jsse-nio-8443-exec-6 |TransactionUtil               |W| No transaction in place, so not suspending.
2023-12-18 16:30:27,031 |jsse-nio-8443-exec-6 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visit]; curSeqId=28400, maxSeqId=28500, bankSize=100
2023-12-18 16:30:27,076 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-18 16:30:27,078 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.018s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-18 16:30:27,079 |jsse-nio-8443-exec-6 |ConfigXMLReader               |I| controller loaded: 0.03s, 15 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-18 16:30:27,119 |jsse-nio-8443-exec-6 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-18 16:30:27,159 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.ExamsForUserEvent#examsForUserEvent] from [request], result is [error]
2023-12-18 16:30:27,185 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-18 16:30:27,187 |jsse-nio-8443-exec-6 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-18 16:30:27,277 |jsse-nio-8443-exec-6 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-18 16:30:27,308 |jsse-nio-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-18 16:30:27,328 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[onlineexam::ExamsForUserEvent (Domain:https://localhost)] Request Done- total:0.328,since last([onlineexam::Exam...):0.328]]
2023-12-18 16:30:43,328 |sse-nio-8443-exec-10 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-18 16:30:43,330 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[partymgr::main (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 16:30:43,335 |sse-nio-8443-exec-10 |VisitHandler                  |I| Found visitorId [23400] in cookie
2023-12-18 16:30:43,420 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-18 16:30:43,422 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.019s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-18 16:30:43,440 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-18 16:30:43,456 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/WEB-INF/controller.xml
2023-12-18 16:30:43,485 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.008s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-18 16:30:43,492 |sse-nio-8443-exec-10 |ConfigXMLReader               |I| controller loaded: 0.114s, 268 requests, 110 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/webapp/partymgr/WEB-INF/controller.xml
2023-12-18 16:30:43,514 |sse-nio-8443-exec-10 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2023-12-18 16:30:45,145 |sse-nio-8443-exec-10 |RequestHandler                |I| Rendering View [login].  Hidden sessionId by default.
2023-12-18 16:30:45,336 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [partymgr/getUserPreferenceGroup] finished in [185] milliseconds
2023-12-18 16:30:47,201 |sse-nio-8443-exec-10 |ScreenFactory                 |I| Got 29 screens in 1.366s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/widget/CommonScreens.xml
2023-12-18 16:30:47,522 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/webapp/freemarkerTransforms.properties
2023-12-18 16:30:47,524 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/widget/freemarkerTransforms.properties
2023-12-18 16:30:47,534 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/content/freemarkerTransforms.properties
2023-12-18 16:30:47,538 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/product/freemarkerTransforms.properties
2023-12-18 16:30:47,573 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/webapp/freemarkerTransforms.properties
2023-12-18 16:30:47,575 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/widget/freemarkerTransforms.properties
2023-12-18 16:30:47,589 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/content/freemarkerTransforms.properties
2023-12-18 16:30:47,602 |sse-nio-8443-exec-10 |FreeMarkerWorker              |I| loading properties: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/build/resources/main/org/apache/ofbiz/product/freemarkerTransforms.properties
2023-12-18 16:30:47,745 |sse-nio-8443-exec-10 |ScreenFactory                 |I| Got 28 screens in 0.244s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/themes/common-theme/widget/CommonScreens.xml
2023-12-18 16:30:47,758 |sse-nio-8443-exec-10 |ScreenFactory                 |I| Got 5 screens in 0.011s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/widget/partymgr/CommonScreens.xml
2023-12-18 16:30:47,972 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle PartyUiLabels (en_US) created in 0.206s with 837 properties
2023-12-18 16:30:48,069 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle MarketingUiLabels (en_US) created in 0.095s with 296 properties
2023-12-18 16:30:48,378 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle AccountingUiLabels (en_US) created in 0.309s with 1568 properties
2023-12-18 16:30:48,450 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle WorkEffortUiLabels (en_US) created in 0.071s with 483 properties
2023-12-18 16:30:48,535 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle ContentUiLabels (en_US) created in 0.085s with 529 properties
2023-12-18 16:30:48,590 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle SecurityUiLabels (en_US) created in 0.054s with 65 properties
2023-12-18 16:30:48,768 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle CommonUiLabels (en_US) created in 0.178s with 926 properties
2023-12-18 16:30:48,894 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle OrderUiLabels (en_US) created in 0.126s with 1012 properties
2023-12-18 16:30:49,211 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle ProductUiLabels (en_US) created in 0.316s with 2621 properties
2023-12-18 16:30:49,261 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle HumanResUiLabels (en_US) created in 0.05s with 314 properties
2023-12-18 16:30:49,418 |sse-nio-8443-exec-10 |ScreenFactory                 |I| Got 1 screens in 0.156s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/widget/CommonScreens.xml
2023-12-18 16:30:49,464 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle CommonExtUiLabels (en_US) created in 0.045s with 7 properties
2023-12-18 16:30:49,468 |sse-nio-8443-exec-10 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyNameView][partyId,null()]
2023-12-18 16:30:49,824 |sse-nio-8443-exec-10 |ServiceDispatcher             |T| Sync service [partymgr/getLastSystemInfoNote] finished in [150] milliseconds
2023-12-18 16:30:49,945 |sse-nio-8443-exec-10 |UtilProperties                |I| ResourceBundle general (en_US) created in 0.012s with 25 properties
2023-12-18 16:30:50,862 |sse-nio-8443-exec-10 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-18 16:30:50,885 |sse-nio-8443-exec-10 |ControlServlet                |T| [[[partymgr::main (Domain:https://localhost)] Request Done- total:7.555,since last([partymgr::main (...):7.555]]
2023-12-18 16:31:30,839 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[partymgr::login (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 16:31:30,873 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/handlers-controller.xml
2023-12-18 16:31:30,875 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.009s, 52 requests, 21 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/common-controller.xml
2023-12-18 16:31:30,888 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/security-controller.xml
2023-12-18 16:31:30,905 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/webapp/WEB-INF/controller.xml
2023-12-18 16:31:30,936 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.013s, 347 requests, 134 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/content/webapp/content/WEB-INF/controller.xml
2023-12-18 16:31:30,943 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.089s, 268 requests, 110 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/webapp/partymgr/WEB-INF/controller.xml
2023-12-18 16:31:30,951 |jsse-nio-8443-exec-3 |LoginWorker                   |I| Setting default delegator
2023-12-18 16:31:31,025 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/userLogin] finished in [73] milliseconds
2023-12-18 16:31:31,026 |jsse-nio-8443-exec-3 |VisitHandler                  |I| Found visitorId [23400] in cookie
2023-12-18 16:31:31,037 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/preferenceGetSetPermission] finished in [1] milliseconds
2023-12-18 16:31:31,042 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/setUserPreference] finished in [7] milliseconds
2023-12-18 16:31:31,047 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/getUserPreference] finished in [4] milliseconds
2023-12-18 16:31:31,050 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [partymgr/getUserPreference] finished in [2] milliseconds
2023-12-18 16:31:31,073 |jsse-nio-8443-exec-3 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.webapp.control.LoginWorker#login] from [request], result is [success]
2023-12-18 16:31:31,075 |jsse-nio-8443-exec-3 |RequestHandler                |I| [Doing Previous Request]: /main Hidden sessionId by default.
2023-12-18 16:31:31,082 |jsse-nio-8443-exec-3 |RequestHandler                |I| Sending redirect to: [https://localhost:8443/partymgr/control/main].  Hidden sessionId by default.
2023-12-18 16:31:31,087 |jsse-nio-8443-exec-3 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-18 16:31:31,091 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[partymgr::login (Domain:https://localhost)] Request Done- total:0.251,since last([partymgr::login ...):0.251]]
2023-12-18 16:31:31,102 |jsse-nio-8443-exec-5 |ControlServlet                |T| [[[partymgr::main (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 16:31:31,141 |jsse-nio-8443-exec-5 |RequestHandler                |I| Rendering View [main].  Hidden sessionId by default.
2023-12-18 16:31:31,149 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/getUserPreferenceGroup] finished in [7] milliseconds
2023-12-18 16:31:31,252 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 42 screens in 0.097s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/widget/partymgr/PartyScreens.xml
2023-12-18 16:31:31,339 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 5 screens in 0.005s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/party/widget/partymgr/CommonScreens.xml
2023-12-18 16:31:31,348 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 1 screens in 0.008s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/applications/commonext/widget/CommonScreens.xml
2023-12-18 16:31:31,575 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/getLastSystemInfoNote] finished in [106] milliseconds
2023-12-18 16:31:31,608 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 29 screens in 0.008s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/widget/CommonScreens.xml
2023-12-18 16:31:31,707 |jsse-nio-8443-exec-5 |ScreenFactory                 |I| Got 28 screens in 0.012s from: file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/themes/common-theme/widget/CommonScreens.xml
2023-12-18 16:31:33,571 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/genericBasePermissionCheck] finished in [270] milliseconds
2023-12-18 16:31:33,573 |jsse-nio-8443-exec-5 |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-18 16:31:33,573 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/partyBasePermissionCheck] finished in [1005] milliseconds
2023-12-18 16:31:33,636 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/genericBasePermissionCheck] finished in [1] milliseconds
2023-12-18 16:31:33,637 |jsse-nio-8443-exec-5 |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-12-18 16:31:33,637 |jsse-nio-8443-exec-5 |ServiceDispatcher             |T| Sync service [partymgr/partyBasePermissionCheck] finished in [5] milliseconds
2023-12-18 16:31:34,188 |jsse-nio-8443-exec-5 |UtilProperties                |I| ResourceBundle PartyEntityLabels (en_US) created in 0.129s with 301 properties
2023-12-18 16:31:34,476 |jsse-nio-8443-exec-2 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-18 16:31:34,486 |jsse-nio-8443-exec-2 |ControlServlet                |T| [[[webtools::main (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-18 16:31:34,487 |jsse-nio-8443-exec-2 |VisitHandler                  |I| Found visitorId [23400] in cookie
2023-12-18 16:31:34,553 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/portal-controller.xml
2023-12-18 16:31:34,571 |jsse-nio-8443-exec-2 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
