2023-12-25 19:07:48,471 |sse-nio-8443-exec-34 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,605 |sse-nio-8443-exec-34 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,605 |sse-nio-8443-exec-34 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,606 |sse-nio-8443-exec-34 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,606 |sse-nio-8443-exec-34 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,607 |sse-nio-8443-exec-34 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.003,since last([onlineexam::ques...):0.003]]
2023-12-25 19:07:48,616 |sse-nio-8443-exec-18 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,617 |sse-nio-8443-exec-18 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,617 |sse-nio-8443-exec-18 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,617 |sse-nio-8443-exec-18 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,617 |sse-nio-8443-exec-18 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,618 |sse-nio-8443-exec-18 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,619 |sse-nio-8443-exec-18 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.003,since last([onlineexam::ques...):0.003]]
2023-12-25 19:07:48,701 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,703 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,703 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,703 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,704 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,705 |sse-nio-8443-exec-58 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,723 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.022,since last([onlineexam::ques...):0.022]]
2023-12-25 19:07:48,732 |sse-nio-8443-exec-30 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,733 |sse-nio-8443-exec-30 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,733 |sse-nio-8443-exec-30 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,733 |sse-nio-8443-exec-30 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,733 |sse-nio-8443-exec-30 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,734 |sse-nio-8443-exec-30 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,736 |sse-nio-8443-exec-30 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::ques...):0.004]]
2023-12-25 19:07:48,841 |sse-nio-8443-exec-36 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,842 |sse-nio-8443-exec-36 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,842 |sse-nio-8443-exec-36 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,842 |sse-nio-8443-exec-36 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,843 |sse-nio-8443-exec-36 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,843 |sse-nio-8443-exec-36 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,859 |sse-nio-8443-exec-36 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.018,since last([onlineexam::ques...):0.018]]
2023-12-25 19:07:48,866 |sse-nio-8443-exec-34 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,867 |sse-nio-8443-exec-34 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,868 |sse-nio-8443-exec-34 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,868 |sse-nio-8443-exec-34 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,868 |sse-nio-8443-exec-34 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,869 |sse-nio-8443-exec-34 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,870 |sse-nio-8443-exec-34 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::ques...):0.004]]
2023-12-25 19:07:48,879 |sse-nio-8443-exec-18 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,880 |sse-nio-8443-exec-18 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,880 |sse-nio-8443-exec-18 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,880 |sse-nio-8443-exec-18 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,881 |sse-nio-8443-exec-18 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,881 |sse-nio-8443-exec-18 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,883 |sse-nio-8443-exec-18 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::ques...):0.004]]
2023-12-25 19:07:48,965 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:48,974 |sse-nio-8443-exec-58 |ConfigXMLReader               |I| controller loaded: 0.001s, 20 requests, 1 views in file:/C:/Users/Dell/ofbiz-framework/ofbiz-framework/plugins/onlineexam/webapp/onlineexam/WEB-INF/controller.xml
2023-12-25 19:07:48,975 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:48,975 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:48,975 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:48,975 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:48,976 |sse-nio-8443-exec-58 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:48,997 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.032,since last([onlineexam::ques...):0.032]]
2023-12-25 19:07:49,006 |sse-nio-8443-exec-32 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,007 |sse-nio-8443-exec-32 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,007 |sse-nio-8443-exec-32 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,007 |sse-nio-8443-exec-32 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,007 |sse-nio-8443-exec-32 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,008 |sse-nio-8443-exec-32 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,009 |sse-nio-8443-exec-32 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.003,since last([onlineexam::ques...):0.003]]
2023-12-25 19:07:49,098 |sse-nio-8443-exec-40 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,099 |sse-nio-8443-exec-40 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,099 |sse-nio-8443-exec-40 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,100 |sse-nio-8443-exec-40 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,100 |sse-nio-8443-exec-40 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,100 |sse-nio-8443-exec-40 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,113 |sse-nio-8443-exec-40 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.015,since last([onlineexam::ques...):0.015]]
2023-12-25 19:07:49,120 |sse-nio-8443-exec-51 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,121 |sse-nio-8443-exec-51 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,121 |sse-nio-8443-exec-51 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,121 |sse-nio-8443-exec-51 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,122 |sse-nio-8443-exec-51 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,123 |sse-nio-8443-exec-51 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,124 |sse-nio-8443-exec-51 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::ques...):0.004]]
2023-12-25 19:07:49,130 |sse-nio-8443-exec-41 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,131 |sse-nio-8443-exec-41 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,131 |sse-nio-8443-exec-41 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,132 |sse-nio-8443-exec-41 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,132 |sse-nio-8443-exec-41 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,132 |sse-nio-8443-exec-41 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,133 |sse-nio-8443-exec-41 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.003,since last([onlineexam::ques...):0.003]]
2023-12-25 19:07:49,141 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,143 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,143 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,143 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,143 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,144 |sse-nio-8443-exec-58 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,145 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.004,since last([onlineexam::ques...):0.004]]
2023-12-25 19:07:49,232 |sse-nio-8443-exec-32 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,234 |sse-nio-8443-exec-32 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,234 |sse-nio-8443-exec-32 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,234 |sse-nio-8443-exec-32 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,235 |sse-nio-8443-exec-32 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,236 |sse-nio-8443-exec-32 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,250 |sse-nio-8443-exec-32 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.017,since last([onlineexam::ques...):0.017]]
2023-12-25 19:07:49,599 |sse-nio-8443-exec-40 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:49,601 |sse-nio-8443-exec-40 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:49,601 |sse-nio-8443-exec-40 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:49,602 |sse-nio-8443-exec-40 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:49,602 |sse-nio-8443-exec-40 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:49,604 |sse-nio-8443-exec-40 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:49,617 |sse-nio-8443-exec-40 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.018,since last([onlineexam::ques...):0.018]]
2023-12-25 19:07:50,031 |sse-nio-8443-exec-51 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2023-12-25 19:07:50,078 |sse-nio-8443-exec-41 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:50,081 |sse-nio-8443-exec-41 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:50,081 |sse-nio-8443-exec-41 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:50,081 |sse-nio-8443-exec-41 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:50,081 |sse-nio-8443-exec-41 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:50,083 |sse-nio-8443-exec-41 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:50,099 |sse-nio-8443-exec-41 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.021,since last([onlineexam::ques...):0.021]]
2023-12-25 19:07:50,205 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:50,209 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:50,209 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
2023-12-25 19:07:50,209 |sse-nio-8443-exec-58 |RequestHandler                |I| [RequestHandler]: Chain in place: requestUri=json overrideViewUri=null Hidden sessionId by default.
2023-12-25 19:07:50,210 |sse-nio-8443-exec-58 |RequestHandler                |I| Ran Event [java:org.apache.ofbiz.common.CommonEvents#jsonResponseFromRequestAttributes] from [request], result is [success]
2023-12-25 19:07:50,212 |sse-nio-8443-exec-58 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2023-12-25 19:07:50,232 |sse-nio-8443-exec-58 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Done- total:0.027,since last([onlineexam::ques...):0.027]]
2023-12-25 19:07:50,342 |sse-nio-8443-exec-32 |ControlServlet                |T| [[[onlineexam::questionMasterList (Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2023-12-25 19:07:50,344 |sse-nio-8443-exec-32 |RequestHandler                |I| Ran Event [java:com.companyname.onlineexam.events.QuestionMasterListEvent#questionMasterListEvent] from [request], result is [success]
2023-12-25 19:07:50,344 |sse-nio-8443-exec-32 |RequestHandler                |I| [RequestHandler.doRequest]: Response is a chained request. Hidden sessionId by default.
